,호선,역,시간(분)
0,1,소요산,
1,1,동두천,2.0
2,1,보산,2.0
3,1,동두천중앙,2.0
4,1,지행,2.0
5,1,덕정,5.0
6,1,덕계,3.0
7,1,양주,4.0
8,1,녹양,2.0
9,1,가능,1.0
10,1,의정부,2.0
11,1,회룡,2.0
12,1,망월사,2.0
13,1,도봉산,3.0
14,1,도봉,2.0
15,1,방학,2.0
16,1,창동,2.0
17,1,녹천,1.0
18,1,월계,2.0
19,1,광운대,2.0
20,1,석계,2.0
21,1,신이문,2.0
22,1,외대앞,1.0
23,1,회기,2.0
24,1,청량리,3.0
25,1,제기동,2.0
26,1,신설동,2.0
27,1,동묘앞,2.0
28,1,동대문,2.0
29,1,종로5가,4.0
30,1,종로3가,2.0
31,1,종각,1.0
32,1,시청,2.0
33,1,서울역,2.0
34,1,남영,2.0
35,1,용산,2.0
36,1,노량진,3.0
37,1,대방,2.0
38,1,신길,1.0
39,1,영등포,2.0
40,1,신도림,2.0
41,1,구로,2.0
42,1,구일,2.0
43,1,개봉,2.0
44,1,오류동,2.0
45,1,온수,2.0
46,1,역곡,1.0
47,1,소사,2.0
48,1,부천,2.0
49,1,중동,2.0
50,1,송내,1.0
51,1,부개,1.0
52,1,부평,2.0
53,1,백운,2.0
54,1,동암,2.0
55,1,간석,2.0
56,1,주안,1.0
57,1,도화,1.0
58,1,제물포,1.0
59,1,도원,1.0
60,1,동인천,1.0
61,1,인천,3.0
62,1,구로,
63,1,가산디지털단지,4.0
64,1,독산,2.0
65,1,금천구청,2.0
66,1,석수,3.0
67,1,관악,2.0
68,1,안양,2.0
69,1,명학,2.0
70,1,금정,2.0
71,1,군포,3.0
72,1,당정,1.0
73,1,의왕,2.0
74,1,성균관대,3.0
75,1,화서,3.0
76,1,수원,3.0
77,1,세류,3.0
78,1,병점,4.0
79,1,세마,2.0
80,1,오산대,2.0
81,1,오산,3.0
82,1,진위,3.0
83,1,송탄,3.0
84,1,서정리,2.0
85,1,지제,4.0
86,1,평택,4.0
87,1,성환,7.0
88,1,직산,4.0
89,1,두정,4.0
90,1,천안,4.0
91,1,봉명,2.0
92,1,쌍용,2.0
93,1,아산,2.0
94,1,탕정,2.0
95,1,배방,3.0
96,1,온양온천,4.0
97,1,신창,4.0
98,2,뚝섬,1.0
99,2,한양대,1.5
100,2,왕십리,1.5
101,2,상왕십리,1.0
102,2,신당,1.0
103,2,동대문역사문화공원,1.5
104,2,을지로4가,1.5
105,2,을지로3가,1.0
106,2,을지로입구,1.0
107,2,시청,1.5
108,2,충정로,1.5
109,2,아현,1.5
110,2,이대,1.0
111,2,신촌,1.0
112,2,홍대입구,2.0
113,2,합정,1.5
114,2,당산,2.5
115,2,영등포구청,1.5
116,2,문래,1.0
117,2,신도림,2.0
118,2,대림,2.5
119,2,구로디지털단지,1.5
120,2,신대방,1.5
121,2,신림,2.0
122,2,봉천,1.5
123,2,서울대입구,1.0
124,2,낙성대,1.5
125,2,사당,2.0
126,2,방배,2.5
127,2,서초,2.0
128,2,교대,1.0
129,2,강남,1.5
130,2,역삼,1.0
131,2,선릉,1.5
132,2,삼성,1.5
133,2,종합운동장,1.5
134,2,잠실새내,1.5
135,2,잠실,1.5
136,2,잠실나루,1.5
137,2,강변,2.0
138,2,구의,1.0
139,2,건대입구,2.0
140,2,성수,1.5
141,3,대화,
142,3,주엽,2.0
143,3,정발산,2.0
144,3,마두,1.0
145,3,백석,2.0
146,3,대곡,3.0
147,3,화정,2.0
148,3,원당,3.0
149,3,원흥,3.0
150,3,삼송,2.0
151,3,지축,2.0
152,3,구파발,2.5
153,3,연신내,2.5
154,3,불광,2.0
155,3,녹번,1.5
156,3,홍제,2.0
157,3,무악재,1.5
158,3,독립문,1.5
159,3,경복궁,2.0
160,3,안국,1.5
161,3,종로3가,2.0
162,3,을지로3가,1.0
163,3,충무로,1.0
164,3,동대입구,1.5
165,3,약수,1.5
166,3,금호,1.0
167,3,옥수,1.0
168,3,압구정,2.5
169,3,신사,2.0
170,3,잠원,1.0
171,3,고속터미널,1.5
172,3,교대,2.0
173,3,남부터미널,1.5
174,3,양재,2.0
